Rank,Wine,Vintage,Score,Price,year_inv,s_norm,p_norm_inv,year_norm_inv,s+p,s+y,
8,Meyer Cabernet Sauvignon Napa Valley ,2014,95,70,2,0.95,0.575757576,0.000992063,1.525757576,0.950992063,
62,Clos Fourtet St.-Emilion ,2014,95,74,2,0.95,0.551515152,0.000992063,1.501515152,0.950992063,
10,Booker Oublié Paso Robles ,2014,95,80,2,0.95,0.515151515,0.000992063,1.465151515,0.950992063,
1,Duckhorn Merlot Napa Valley Three Palms Vineyard ,2014,95,98,2,0.95,0.406060606,0.000992063,1.356060606,0.950992063,
91,Château Léoville Las Cases St.-Julien ,2014,95,135,2,0.95,0.181818182,0.000992063,1.131818182,0.950992063,
5,Château de St.-Cosme Gigondas ,2015,95,43,1,0.95,0.739393939,0.000496032,1.689393939,0.950496032,
100,Sadie Family 'T Voetpad Swartland ,2015,95,67,1,0.95,0.593939394,0.000496032,1.543939394,0.950496032,
9,Pahlmeyer Chardonnay Napa Valley ,2015,95,75,1,0.95,0.545454545,0.000496032,1.495454545,0.950496032,
99,Robert Weil Riesling Qualitätswein Trocken Rheingau Kiedricher Gräfenberg GG ,2015,95,92,1,0.95,0.442424242,0.000496032,1.392424242,0.950496032,
6,Domaine Huët Vouvray Demi-Sec Le Mont ,2016,95,44,0,0.95,0.733333333,0,1.683333333,0.95,
74,Domaine de la Solitude Châteauneuf-du-Pape White ,2016,95,50,0,0.95,0.696969697,0,1.646969697,0.95,
79,Alban Syrah Edna Valley Reva Alban Estate ,2013,94,98,3,0.94,0.406060606,0.001488095,1.346060606,0.941488095,
13,Sixto Chardonnay Washington Uncovered ,2014,94,35,2,0.94,0.787878788,0.000992063,1.727878788,0.940992063,
24,Justin Justification Paso Robles ,2014,94,50,2,0.94,0.696969697,0.000992063,1.636969697,0.940992063,
39,Spring Valley Frederick Walla Walla Valley ,2014,94,50,2,0.94,0.696969697,0.000992063,1.636969697,0.940992063,
53,PlumpJack Syrah Napa Valley ,2014,94,60,2,0.94,0.636363636,0.000992063,1.576363636,0.940992063,
86,Lancaster Cabernet Sauvignon Alexander Valley ,2014,94,75,2,0.94,0.545454545,0.000992063,1.485454545,0.940992063,
98,Prats & Symington Douro Chryseia ,2014,94,75,2,0.94,0.545454545,0.000992063,1.485454545,0.940992063,
89,Daou Cabernet Sauvignon Adelaida District Estate ,2014,94,85,2,0.94,0.484848485,0.000992063,1.424848485,0.940992063,
15,Domaine des Baumard Savennières ,2015,94,30,1,0.94,0.818181818,0.000496032,1.758181818,0.940496032,
21,Hartford Family Zinfandel Russian River Valley Old Vine ,2015,94,38,1,0.94,0.76969697,0.000496032,1.70969697,0.940496032,
63,Purple Hands Pinot Noir Dundee Hills Latchkey Vineyard ,2015,94,50,1,0.94,0.696969697,0.000496032,1.636969697,0.940496032,
